#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   1  10   5.2e-63     2e-60  203.1   0.9     1   305    28   411    28   422 0.79 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   2  10   3.5e-91   1.4e-88  296.5   0.2   306   551   454   721   444   742 0.90 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   3  10   2.9e-15   1.1e-12   44.8   0.9   554   615   766   838   754   848 0.77 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   4  10     4e-10   1.6e-07   27.8   0.0   576   653   929  1009   863  1016 0.61 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   5  10   3.5e-31   1.4e-28   97.6   0.0   668   798  1084  1252  1074  1257 0.76 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   6  10  1.3e-166  5.1e-164  546.6   0.1   809  1192  1369  1779  1351  1791 0.90 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   7  10   2.6e-36     1e-33  114.6   0.9  1175  1323  1794  1964  1783  1973 0.87 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   8  10   3.2e-12   1.3e-09   34.7   0.3  1341  1411  2046  2141  2033  2166 0.67 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5   9  10   4.8e-30   1.9e-27   93.8   1.3  1405  1567  2205  2405  2201  2427 0.82 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4467819.1         -           2635 9639at33208          -           1755         0 1470.3  44.5  10  10   1.1e-11   4.3e-09   33.0   0.0  1572  1664  2463  2568  2441  2575 0.77 hypothetical protein MN116_008743 [Schistosoma mekongi]
KAK4471812.1         -            468 9639at33208          -           1755     6e-08   29.2   0.8   1   1   2.2e-10   8.9e-08   28.6   0.8  1080  1122    48    93    42    99 0.84 hypothetical protein MN116_005206 [Schistosoma mekongi]
KAK4474131.1         -            197 9639at33208          -           1755   3.7e-07   26.6   0.1   1   1   1.3e-09   5.1e-07   26.1   0.1  1082  1120    39    77    29    82 0.90 hypothetical protein MN116_003434 [Schistosoma mekongi]
KAK4472873.1         -            401 9639at33208          -           1755   8.9e-07   25.3   0.0   1   1     3e-09   1.2e-06   24.9   0.0  1079  1119    17    57     9    63 0.91 hypothetical protein MN116_004084 [Schistosoma mekongi]
