#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4471215.1         -           3212 14776at33208         -           1883         0 1455.4  25.5   1   7     1e-05     0.012   12.0   0.6     7    74   140   207   134   263 0.65 hypothetical protein MN116_004664 [Schistosoma mekongi]
KAK4471215.1         -           3212 14776at33208         -           1883         0 1455.4  25.5   2   7   0.00028      0.31    7.2   0.1    86   191   271   370   217   423 0.78 hypothetical protein MN116_004664 [Schistosoma mekongi]
KAK4471215.1         -           3212 14776at33208         -           1883         0 1455.4  25.5   3   7   3.7e-07   0.00042   16.8   0.4   278   351   738   830   691   851 0.63 hypothetical protein MN116_004664 [Schistosoma mekongi]
KAK4471215.1         -           3212 14776at33208         -           1883         0 1455.4  25.5   4   7      0.68   7.7e+02   -4.0   0.0   524   567  1431  1483  1423  1495 0.75 hypothetical protein MN116_004664 [Schistosoma mekongi]
KAK4471215.1         -           3212 14776at33208         -           1883         0 1455.4  25.5   5   7         0         0 1300.0   8.2   568  1479  1550  2487  1541  2518 0.94 hypothetical protein MN116_004664 [Schistosoma mekongi]
KAK4471215.1         -           3212 14776at33208         -           1883         0 1455.4  25.5   6   7   2.5e-38   2.8e-35  120.1   0.0  1484  1678  2604  2813  2596  2823 0.89 hypothetical protein MN116_004664 [Schistosoma mekongi]
KAK4471215.1         -           3212 14776at33208         -           1883         0 1455.4  25.5   7   7   0.00096       1.1    5.4   0.0  1820  1854  3121  3155  3095  3176 0.84 hypothetical protein MN116_004664 [Schistosoma mekongi]
KAK4473936.1         -           1290 14776at33208         -           1883   1.7e-07   28.0   0.2   1   3   0.00052      0.59    6.3   0.0  1261  1353   627   722   605   736 0.84 hypothetical protein MN116_003259 [Schistosoma mekongi]
KAK4473936.1         -           1290 14776at33208         -           1883   1.7e-07   28.0   0.2   2   3   4.3e-05     0.049    9.9   0.0  1616  1712   897  1000   888  1033 0.71 hypothetical protein MN116_003259 [Schistosoma mekongi]
KAK4473936.1         -           1290 14776at33208         -           1883   1.7e-07   28.0   0.2   3   3   0.00019      0.22    7.8   0.1  1315  1426  1053  1170  1001  1187 0.76 hypothetical protein MN116_003259 [Schistosoma mekongi]
KAK4471006.1         -            584 14776at33208         -           1883   0.00078   15.9   0.1   1   2   8.6e-05     0.098    8.9   0.0  1258  1351    25   119     7   129 0.79 hypothetical protein MN116_006507 [Schistosoma mekongi]
KAK4471006.1         -            584 14776at33208         -           1883   0.00078   15.9   0.1   2   2    0.0015       1.7    4.8   0.1  1251  1355   318   426   304   447 0.71 hypothetical protein MN116_006507 [Schistosoma mekongi]
KAK4468209.1         -           1199 14776at33208         -           1883    0.0043   13.4   0.6   1   2   3.4e-05     0.039   10.3   0.2   862   987    24   159    12   189 0.68 hypothetical protein MN116_008367 [Schistosoma mekongi]
KAK4468209.1         -           1199 14776at33208         -           1883    0.0043   13.4   0.6   2   2   1.4e-05     0.016   11.6   0.5  1293  1385   120   218    61   231 0.77 hypothetical protein MN116_008367 [Schistosoma mekongi]
KAK4475007.1         -           1127 14776at33208         -           1883    0.0057   13.0   0.8   1   3    0.0016       1.8    4.7   0.0  1272  1355   365   451   337   556 0.60 hypothetical protein MN116_002106 [Schistosoma mekongi]
KAK4475007.1         -           1127 14776at33208         -           1883    0.0057   13.0   0.8   2   3     0.064        72   -0.6   0.0   744   769   606   631   603   634 0.89 hypothetical protein MN116_002106 [Schistosoma mekongi]
KAK4475007.1         -           1127 14776at33208         -           1883    0.0057   13.0   0.8   3   3    0.0021       2.3    4.4   0.1   656   683   716   743   677   755 0.82 hypothetical protein MN116_002106 [Schistosoma mekongi]
KAK4472238.1         -            685 14776at33208         -           1883     0.014   11.7   0.1   1   3      0.47   5.3e+02   -3.5   0.0  1311  1661   265   284   252   293 0.59 hypothetical protein MN116_003509 [Schistosoma mekongi]
KAK4472238.1         -            685 14776at33208         -           1883     0.014   11.7   0.1   2   3   0.00075      0.86    5.8   0.0   731   782   355   407   336   417 0.75 hypothetical protein MN116_003509 [Schistosoma mekongi]
KAK4472238.1         -            685 14776at33208         -           1883     0.014   11.7   0.1   3   3   6.1e-05     0.069    9.4   0.0  1245  1341   365   466   355   484 0.68 hypothetical protein MN116_003509 [Schistosoma mekongi]
KAK4474803.1         -            879 14776at33208         -           1883     0.021   11.2   0.0   1   2     0.005       5.6    3.1   0.0  1460  1528   187   256   169   269 0.81 hypothetical protein MN116_001921 [Schistosoma mekongi]
KAK4474803.1         -            879 14776at33208         -           1883     0.021   11.2   0.0   2   2     0.001       1.2    5.3   0.0  1261  1356   425   523   387   532 0.85 hypothetical protein MN116_001921 [Schistosoma mekongi]
KAK4475354.1         -           1292 14776at33208         -           1883      0.22    7.8   4.1   1   1   0.00028      0.32    7.2   4.1   260   337   299   378   265   397 0.78 hypothetical protein MN116_000789 [Schistosoma mekongi]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/14776at33208.hmm
# Target file:     /users/40483456/protein/s.mekongi.faa
# Option settings: hmmsearch --domtblout /users/40483456/busco/results_pro/s.mekongi_busco/run_metazoa_odb10/hmmer_output/initial_run_results/14776at33208.out --cpu 1 /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/14776at33208.hmm /users/40483456/protein/s.mekongi.faa 
# Current dir:     /users/40483456
# Date:            Thu Jan 15 18:04:03 2026
# [ok]
