#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   1   9  3.1e-129  2.8e-126  421.8   6.5     2   416     6   458     5   475 0.86 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   2   9  9.7e-152  8.8e-149  496.3   0.2   405   765   497   879   492   930 0.92 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   3   9    0.0039       3.6    4.1   0.1   789   820  1006  1041   980  1043 0.76 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   4   9   8.6e-15   7.8e-12   42.7   1.3   819   892  1164  1246  1159  1259 0.81 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   5   9   3.1e-06    0.0028   14.4   0.0   882   951  1300  1372  1285  1439 0.64 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   6   9   2.6e-12   2.3e-09   34.5   0.0   963  1014  1485  1536  1472  1546 0.90 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   7   9   0.00023      0.21    8.2   0.0  1005  1041  1600  1637  1552  1656 0.85 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   8   9   5.7e-24   5.2e-21   73.1   0.5  1039  1100  1690  1751  1676  1763 0.93 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4467991.1         -           2009 49474at33208         -           1197         0 1159.8  44.5   9   9   3.5e-27   3.2e-24   83.8   0.8  1099  1196  1785  1895  1779  1896 0.85 hypothetical protein MN116_008172 [Schistosoma mekongi]
KAK4475225.1         -           2121 49474at33208         -           1197     4e-65  219.3  17.7   1   5   1.6e-07   0.00015   18.6   2.2    71   202   143   278   124   293 0.79 hypothetical protein MN116_002302 [Schistosoma mekongi]
KAK4475225.1         -           2121 49474at33208         -           1197     4e-65  219.3  17.7   2   5   8.8e-17     8e-14   49.3   1.6   271   383   525   638   498   644 0.89 hypothetical protein MN116_002302 [Schistosoma mekongi]
KAK4475225.1         -           2121 49474at33208         -           1197     4e-65  219.3  17.7   3   5   3.9e-44   3.5e-41  139.9   0.0   338   699   661  1045   649  1057 0.77 hypothetical protein MN116_002302 [Schistosoma mekongi]
KAK4475225.1         -           2121 49474at33208         -           1197     4e-65  219.3  17.7   4   5    0.0037       3.3    4.2   0.0   708   750  1115  1157  1105  1174 0.87 hypothetical protein MN116_002302 [Schistosoma mekongi]
KAK4475225.1         -           2121 49474at33208         -           1197     4e-65  219.3  17.7   5   5   7.9e-06    0.0072   13.1   0.1   819   932  1298  1427  1277  1447 0.77 hypothetical protein MN116_002302 [Schistosoma mekongi]
KAK4469090.1         -           1163 49474at33208         -           1197   7.4e-43  145.5   0.6   1   1   1.2e-45   1.1e-42  145.0   0.6   416   609   697   898   686   902 0.89 hypothetical protein MN116_006678 [Schistosoma mekongi]
KAK4468173.1         -            435 49474at33208         -           1197   1.1e-36  125.1   1.5   1   1   1.5e-39   1.4e-36  124.7   1.5   385   597    25   243    11   286 0.84 hypothetical protein MN116_008336 [Schistosoma mekongi]
KAK4472417.1         -            672 49474at33208         -           1197   2.5e-30  104.0   0.3   1   1   4.1e-33   3.7e-30  103.4   0.3   414   596   230   421   215   428 0.87 hypothetical protein MN116_003672 [Schistosoma mekongi]
KAK4468413.1         -           1652 49474at33208         -           1197   1.4e-25   88.3   0.1   1   1   2.4e-28   2.2e-25   87.6   0.1   479   604   453   576   428   586 0.90 hypothetical protein MN116_007622 [Schistosoma mekongi]
KAK4469121.1         -            912 49474at33208         -           1197   2.9e-15   54.1   0.1   1   1   1.7e-17   1.5e-14   51.7   0.1   407   573   561   759   552   798 0.80 hypothetical protein MN116_006706 [Schistosoma mekongi]
KAK4467274.1         -            305 49474at33208         -           1197   9.9e-15   52.3   4.9   1   2   0.00045      0.41    7.2   0.1   790   820    25    59     7    61 0.75 hypothetical protein MN116_009006 [Schistosoma mekongi]
KAK4467274.1         -            305 49474at33208         -           1197   9.9e-15   52.3   4.9   2   2   5.9e-16   5.4e-13   46.6   1.2   819   892   182   264   177   278 0.81 hypothetical protein MN116_009006 [Schistosoma mekongi]
KAK4470301.1         -            308 49474at33208         -           1197   6.2e-12   43.1   0.0   1   1   8.9e-15     8e-12   42.7   0.0   426   589   107   273    95   281 0.86 hypothetical protein MN116_005868 [Schistosoma mekongi]
KAK4469332.1         -           1970 49474at33208         -           1197   1.4e-06   25.3  17.2   1   5   7.9e-06    0.0072   13.1   1.1   296   380   346   427   318   434 0.81 hypothetical protein MN116_006895 [Schistosoma mekongi]
KAK4469332.1         -           1970 49474at33208         -           1197   1.4e-06   25.3  17.2   2   5      0.26   2.4e+02   -1.9   0.0   709   739   720   750   705   783 0.81 hypothetical protein MN116_006895 [Schistosoma mekongi]
KAK4469332.1         -           1970 49474at33208         -           1197   1.4e-06   25.3  17.2   3   5      0.41   3.7e+02   -2.6   0.0   709   744   961   999   877  1005 0.78 hypothetical protein MN116_006895 [Schistosoma mekongi]
