#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4469116.1         -           1731 66018at33208         -            871         0 1208.2  13.0   1   5   3.4e-07     0.001   15.9   0.0     2    58   354   414   353   426 0.86 hypothetical protein MN116_006701 [Schistosoma mekongi]
KAK4469116.1         -           1731 66018at33208         -            871         0 1208.2  13.0   2   5   1.4e-84   4.2e-81  272.0   0.1    62   282   495   746   466   763 0.85 hypothetical protein MN116_006701 [Schistosoma mekongi]
KAK4469116.1         -           1731 66018at33208         -            871         0 1208.2  13.0   3   5   2.5e-36   7.5e-33  112.3   0.1   277   386   784   896   767   904 0.88 hypothetical protein MN116_006701 [Schistosoma mekongi]
KAK4469116.1         -           1731 66018at33208         -            871         0 1208.2  13.0   4   5   1.1e-67   3.3e-64  216.1   0.6   376   534   987  1168   976  1192 0.81 hypothetical protein MN116_006701 [Schistosoma mekongi]
KAK4469116.1         -           1731 66018at33208         -            871         0 1208.2  13.0   5   5  4.1e-182  1.2e-178  594.7   0.1   516   868  1183  1563  1170  1566 0.90 hypothetical protein MN116_006701 [Schistosoma mekongi]
KAK4472513.1         -           1978 66018at33208         -            871   6.8e-35  119.1   0.4   1   2   1.1e-10   3.4e-07   27.4   0.1   388   455   446   512   423   564 0.85 hypothetical protein MN116_002682 [Schistosoma mekongi]
KAK4472513.1         -           1978 66018at33208         -            871   6.8e-35  119.1   0.4   2   2     4e-29   1.2e-25   88.5   0.0   588   850   581   848   562   856 0.81 hypothetical protein MN116_002682 [Schistosoma mekongi]
KAK4470626.1         -           1414 66018at33208         -            871   1.5e-10   38.6   0.0   1   3    0.0031       9.4    2.8   0.1   400   469   997  1062   953  1107 0.82 hypothetical protein MN116_006162 [Schistosoma mekongi]
KAK4470626.1         -           1414 66018at33208         -            871   1.5e-10   38.6   0.0   2   3   1.9e-08   5.7e-05   20.1   0.0   614   683  1126  1196  1090  1201 0.87 hypothetical protein MN116_006162 [Schistosoma mekongi]
KAK4470626.1         -           1414 66018at33208         -            871   1.5e-10   38.6   0.0   3   3   6.8e-06     0.021   11.6   0.0   744   821  1313  1385  1291  1390 0.85 hypothetical protein MN116_006162 [Schistosoma mekongi]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/66018at33208.hmm
# Target file:     /users/40483456/protein/s.mekongi.faa
# Option settings: hmmsearch --domtblout /users/40483456/busco/results_pro/s.mekongi_busco/run_metazoa_odb10/hmmer_output/initial_run_results/66018at33208.out --cpu 1 /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/66018at33208.hmm /users/40483456/protein/s.mekongi.faa 
# Current dir:     /users/40483456
# Date:            Thu Jan 15 18:04:36 2026
# [ok]
