#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4476121.1         -            936 107151at33208        -            781         0 1270.8  51.9   1   3   2.5e-87   1.2e-83  280.9   7.6     1   166     9   183     9   201 0.93 hypothetical protein MN116_001341 [Schistosoma mekongi]
KAK4476121.1         -            936 107151at33208        -            781         0 1270.8  51.9   2   3  1.4e-233  6.4e-230  764.5  24.5   160   648   212   724   205   732 0.92 hypothetical protein MN116_001341 [Schistosoma mekongi]
KAK4476121.1         -            936 107151at33208        -            781         0 1270.8  51.9   3   3   2.2e-74     1e-70  238.1   3.7   622   781   738   917   726   917 0.92 hypothetical protein MN116_001341 [Schistosoma mekongi]
KAK4469490.1         -            758 107151at33208        -            781   1.8e-16   58.7  14.7   1   5   6.9e-11   3.1e-07   28.1   1.6   468   579    93   203    73   207 0.90 hypothetical protein MN116_007037 [Schistosoma mekongi]
KAK4469490.1         -            758 107151at33208        -            781   1.8e-16   58.7  14.7   2   5   0.00085       3.9    4.7   0.1   468   510   265   309   257   317 0.81 hypothetical protein MN116_007037 [Schistosoma mekongi]
KAK4469490.1         -            758 107151at33208        -            781   1.8e-16   58.7  14.7   3   5   4.5e-05       0.2    8.9   0.0   547   586   320   359   312   365 0.93 hypothetical protein MN116_007037 [Schistosoma mekongi]
KAK4469490.1         -            758 107151at33208        -            781   1.8e-16   58.7  14.7   4   5   2.3e-05       0.1    9.8   0.0   465   521   384   444   373   447 0.84 hypothetical protein MN116_007037 [Schistosoma mekongi]
KAK4469490.1         -            758 107151at33208        -            781   1.8e-16   58.7  14.7   5   5   9.5e-06     0.043   11.1   0.1   507   597   463   556   448   579 0.83 hypothetical protein MN116_007037 [Schistosoma mekongi]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/107151at33208.hmm
# Target file:     /users/40483456/protein/s.mekongi.faa
# Option settings: hmmsearch --domtblout /users/40483456/busco/results_pro/s.mekongi_busco/run_metazoa_odb10/hmmer_output/initial_run_results/107151at33208.out --cpu 1 /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/107151at33208.hmm /users/40483456/protein/s.mekongi.faa 
# Current dir:     /users/40483456
# Date:            Thu Jan 15 18:04:03 2026
# [ok]
