#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   1  19   9.3e-11     7e-08   29.4   0.4    13    67   254   315   246   336 0.73 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   2  19   1.6e-24   1.2e-21   75.0   0.0    56   161   338   460   333   480 0.84 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   3  19   3.5e-16   2.6e-13   47.4   0.0   163   219   512   568   504   581 0.90 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   4  19   4.4e-12   3.3e-09   33.8   0.1   221   264   755   798   745   801 0.92 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   5  19   4.7e-08   3.6e-05   20.4   0.0   258   310   841   896   837   914 0.83 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   6  19   1.1e-08     8e-06   22.6   0.0   375   431  1062  1117  1047  1136 0.82 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   7  19     9e-08   6.8e-05   19.5   0.0   433   489  1241  1298  1191  1306 0.85 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   8  19   3.7e-73   2.8e-70  236.2  15.4   492   625  1338  1471  1324  1484 0.96 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4   9  19   1.2e-08   8.8e-06   22.4   0.0   626   699  1511  1606  1499  1618 0.74 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  10  19   0.00058      0.44    6.9   0.2   702   736  1642  1676  1633  1687 0.87 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  11  19   1.2e-09   9.4e-07   25.6   0.1   731   784  1696  1749  1681  1780 0.80 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  12  19     0.019        15    1.8   0.1   820   877  2252  2308  2227  2322 0.81 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  13  19   0.00012     0.092    9.1   0.1   886   920  2424  2459  2357  2474 0.72 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  14  19   1.6e-11   1.2e-08   31.9   0.0   927   976  2541  2590  2521  2598 0.90 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  15  19   2.4e-14   1.8e-11   41.3   0.2   982  1036  2659  2713  2653  2721 0.93 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  16  19     3e-24   2.3e-21   74.1   0.1  1039  1121  2787  2869  2773  2875 0.95 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  17  19   3.3e-19   2.5e-16   57.4   0.0  1121  1182  2963  3027  2953  3081 0.73 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  18  19     1e-11   7.6e-09   32.6   0.0  1183  1246  3245  3310  3233  3313 0.88 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4472261.1         -           3706 13816at33208         -           1537         0 1176.4  58.4  19  19  3.5e-122  2.6e-119  398.7   0.0  1234  1537  3359  3706  3347  3706 0.84 hypothetical protein MN116_003530 [Schistosoma mekongi]
KAK4476301.1         -            764 13816at33208         -           1537   5.7e-35  119.2   0.0   1   1   1.3e-37   9.7e-35  118.4   0.0  1267  1535   493   762   476   763 0.87 hypothetical protein MN116_001503 [Schistosoma mekongi]
KAK4475069.1         -           1172 13816at33208         -           1537   9.9e-27   91.9   0.1   1   3     0.053        40    0.4   0.0    15   143    30   166    21   168 0.74 hypothetical protein MN116_000762 [Schistosoma mekongi]
KAK4475069.1         -           1172 13816at33208         -           1537   9.9e-27   91.9   0.1   2   3     0.038        29    0.8   0.0  1105  1155   828   880   822   882 0.84 hypothetical protein MN116_000762 [Schistosoma mekongi]
KAK4475069.1         -           1172 13816at33208         -           1537   9.9e-27   91.9   0.1   3   3   6.1e-28   4.6e-25   86.3   0.1  1265  1537   901  1172   897  1172 0.88 hypothetical protein MN116_000762 [Schistosoma mekongi]
